Title,Name,Region,Address,Town,Postcode,Telephone,Email,Contact first name,Contact last name,Description,Access,Cost,Website address,Sector,Sector - other
Tandridge CTPLD,Surrey & Borders Partnership NHS Trust,S.E. England,"Tandridge CTPLD,Bracketts Resource Centre,116-118 Station Road East",Oxted,RH8 0QA,01883 382387,patricia.tongue@surreyoaklands.nhs.uk,Patricia,Tongue,"In partnership with Surrey Adult & Community Care Services we provide support throughout the local community and the team are a group of professionals who work with people who have learning disabilities, their families and carers and can help in many ways including crisis preventions and intervention, sexual and relationship education, self help and independent living skills, family problems, social skills, management and medication of epilepsy, dietetics, counselling, continence promotion, leisure, behaviour, advice on benefits & housing, physiotherapy, speech therapy, art and music therapy.  Please contact the team for further information.",all,No,,Accessibility Services,NHS
Supported Employment Agency,Bexley Twofold,London,"45 Crook Log,Bexleyheath,KENT DA6 8EQ",Bexleyheath,DA6 8EQ,0208 298 0703,bexley.two-fold@virgin.net,Roger,Millgate,"Bexley Twofold helps adults with a learning disability to find and retain employment.  This includes preparing people for work, obtaining work experience, training and gaining skills needed for paid work.  Our criteria is to help clients from the Borough of Bexley who are on the Learning Disability Register.",adult,No,bexley.gov.uk/twofold,Support Service,
Colour Sensitivity and Dyslexia,INDIGO Dyslexia Services,All of England,"Charing Cross Centre,17 -19 St John Maddermarket,Norwich,NR2 1DN",Norwich,NR2 1DN,01603 766 761,indigodyslexia@aol.com,Martin,Parsonage,"Colour sensitity testing for people with specific learning difficulty. Meares Irlen Syndrome.
Supplies coloured actetates available.",all,"£5 for screening, plus acetates costs",www.4dyslexics.com,Education,Special Educational Needs
Specialist College and Therapeutic Community,Pennine Camphill Community,All of UK,"Boyne Hill,Chapelthorpe",Wakefield,WF4 3JH,01924 255281,enquiries@pennine.org.uk,Sue,Crouch,"The Pennine Community is a Therapeutic Community and a Further Education College offering education, training and support for young adults who have learning disabilities. The College is mainly residential (43 places) but takes a number of day students who are able to travel from within the locality. The Pennine Community is registered with the National Care Standards Commission.",adult,Learning & Skills Council funded,www.pennine.org.uk,Education,
Support and enablement,Norfolk County Council Blackhorse Centre,S.E. England,"Hooper Lane,Norwich,nr3 4ed",Norwich,nr3 4ed,1603413324,elizabeth.stirling@norfolk.gov.uk,Liz,Stirling,"Provide person centred support to adults with learning difficulties, accessing the resources within their communities with the goal of leading a fulfilling life as possible. Working with families, carers, and other agencies to provide information,advice and support regarding disability issues.",adult,no,,Other,Adults with learning difficulties
County Durham Learning Disability Service User Parliament,LD Parliament,N.E. England,"The Rivergreen Centre,Aykley Heads",Durham,DH1 5TS,0191 3708646,mail@serviceuser.co.uk,Brian,Smith,"The LD Parliament has paid members(all with learning disabilities) from Durham, Derwentside, Sedgefield, The Dales and Easington areas. There is a Parliament meeting held once a month in County Hall, Durham where invited guests come and speak about their sevices. Some speakers in the past have included: The NHS, the Police, Employment for people with disabilities and housing for people with disabilities. There are also Locality meetings held once a month for people in that area.The main job of the parliament is to help people with a learning disability to have a say about how the services they use are run. This included NHS, Police, Employment, Local and National Government issues, etc. The Parliament also helps people to campaign for better quality of life for people who live in County Durham and have a learning disability. The Parliament has an office consisting of a Facilitator, a Project Manager and two Information Assistants.",adult,No,www.serviceuser.co.uk,Other,Representational Support
Home Care Provider,Caremark Bromley,S.E. England,"International House, Cray Avenue",Orpington,BR5 3RS,01689 825 305,bromley@caremark.co.uk,Sharon,Dhillon,"We provide Home Care and Support to a wide range of customers including:
• Older people
• Adults requiring Dementia Care
• Those requiring end of life support 
• Adults with Learning Difficulties
• Adults with Physical Disabilities

The services we offer vary and can be arranged according to your exact needs. As an example, we provide companionship, sitting services, full-time care (Live-in Care or overnight support), shopping, light domestic help and meal preparation. This can be from as little as 30 minutes to 24 hour live in care.",adult,We work with Individual Budgets and Direct Payments,www.caremark.co.uk,Support Service,
Interactive Sensory Equipment,OM Interactive,All of UK,"OM Interactive Ltd,Elstree Business Centre,Elstree Way",Borehamwood,WD6 1RX,020 8953 5353,lee@om-interactive.com,Lee,Blemings,"We are a leading player in the development of interactive sensory technology and immersive sensory environments. Our award winning gesture-based systems provide truly remarkable interactive experiences for people of all ages and abilities. We also provide a range of services to compliment our products, including: training and free on-site demonstration and sensory design services.   

Please visit www.om-interactive.com for more information",all,,www.om-interactive.com,Sensory Equipment,Education
Special schools for ASD,Cambian Education,All of UK,"Brock House,Grigg Lane,Brockenhurst,Hants,SO42 7RE",Brockenhurst,SO42 7RE,0800 288 9779,enquiries@cambianeducation.com,Linda,Simmons,"Cambian Education manages seven residential special schools and colleges for children and young adults who have autism, Asperger Syndrome, or autism and severe learning difficulties with complex needs and challenging behaviours.  

Multi-disciplinary teams and high staff ratios ensure intensive individual support and one-to-one skill building.  We offer personalised education and care plans, person centred transition planning, therapeutic and clinical interventions including speech and language and behavioural therapy, community-based programmes, vocational training and further education opportunities.  

All our students are working towards greater independence and daily living skills to enable them once they leave us to enter FE colleges or Universities, or move into supported living closer to their families.",all,Residential fees,www.cambianeducation.com,School / College,
TRAXSYS INPUT PRODUCTS,TRAXSYS,All of UK,"Traxsys Input Products,AMETEK Airtechnology Group Ltd,East Portway,Andover,Hants SP10 3LU",Andover,SP10 3LU,01264 349640,charles.fox@ametek.co.uk,Charles,Fox,"TRAXSYS (formerly Penny and Giles) has pioneered a number of innovative and award-winning solutions for improved computer access for individuals with special needs.
Traxsys Joystick and Roller products, Communication Aids, Adjustable Pressure Joggle Switches, Accessories.
Roller II Trackball, Roller II Joystick, Roller Plus Trackball, Roller Plus Joystick, Easitrax Joystick, Large and Small Joggle Switches, 4Talk4 Communication Aid, Scan 4 Communication Aid. Accessories.",all,All available from AT Resellers,http://www.traxsys.com,Communication Aids / AAC,
Specialist care services for adults with Autism and Asperger syndrome,Brookdale Care,All of UK,"Head Office,14 Parkway",Welwyn Garden City,AL8 6HG,01707 646646,info@brookdalecare.co.uk,Wendy,Whyte,"Brookdale Care is the leading independent provider of hospital and residential care services for people with Autistic Spectrum Disorders (ASD), and we are now able to offer supported living placements. Our innovative approach, based on over 12 years of experience, specialises in providing a therapeutic environment for people with Autism and Asperger syndrome and developing care pathways that are client centred and genuinely collaborative.",adult,All placements funded by local authorities and/or NHS,www.brookdalecare.co.uk,Special Care Unit,
AAC Northwest,AAC Northwest,N.W. England,47 Crossgate Mews,Stockport,SK4 3AP,07801 062941,mail@aacnorthwest.co.uk,Penny,Hughes,"Speech and Language Therapy service offering assessment, advice and treatment for individuals with disabilities and special needs. Specialising in assessment and maintenance of AAC systems.",all,Fees dependent on service required,www.aacnorthwest.co.uk,Speech & Language Therapy,
KeDA - Kent Dyspraxia Association,KeDA - Kent Dyspraxia Association,S.E. England,"KeDA,c/o 99, Upper Brents,,Faversham,,Kent,,ME13 7DL",Faversham,ME13 7DL,07926 994820,info@bneill-hypnotherapy.com,Barbara,Neill,"KeDA is a support group for adults and older children with Dyspraxia, their families, friends and interested professionals, in Kent, UK.

It has been formed by Frances Beaumont, Occupational Therapist specialising in assessments for Dyspraxia, and Barbara Neill, mother of a dyspraxic son and, herself, dyspraxic.",adult,£10.00 per year for individual membership or £15.00 per year for family membership,http://www.keda.org.uk/,Support Service,
Anvil Close,Anvil Close,London,"Anvil Close,,Streatham,,London",Streatham,SW16 6YA,01908 230100,referrals@macintyrecharity.org,Allison,Bauman,"Anvil Close is a residential care service supporting 12 people with a range of learning disabilities within a homely & person centred residential environment 24 hours a day, 365 days a year. The service is situated in a small cul-de-sac in a
residential area in Streatham, and is within easy access of shops, pubs, cinema, a sports centre, and public transport & train networks.",adult,Yes,www.macintyrecharity.org,Housing,
"dyslexia assessment, training, tuition and consultancy",dittas,London,"104 Cloonmore Avenuue,Orpington,Kent,BR6 9LW",orpington,br6 9lw,01689 856 917,dittas65@yahoo.co.uk,Sarah,Beard,"DITTAS offers dyslexia assessments and tuition for children and adults. 
It is also a consultancy service for schools and employers and offers Dyslexia Awareness training sessions and Work Place Needs Assessments.",all,from £30 for tuition:£200 for a dyslexia assessment,www.dittas.org,Education,
Support services for people with learning disabilities,Guinness Care and Support,S.W. England,"Hillfields House, Matford Court, Signford Road, Exeter EX2 8NL",Exeter,EX2 8NL,01392 686686,info.careandsupport@guinness.org.uk,Leona,Watson,"With care and support services tailored to each individual, Guinness Care and Support
helps people sustain their independence and live in the home of their choice. Our 1,500 members of staff deliver a range of care and support services, such as support in the community and homecare services, retirement living accommodation, together with residential care homes, nursing care homes, and foyers. We are also part of The Guinness Partnership – one of the largest housing and care providers nationally.",adult,Yes,www.guinnesspartnership.com/careandsupport,Support Service,
Avenues-supporting people with complex needs,Avenues,S.E. England,"Avenues Head Office,River House,1 Maidstone Road,Sidcup,Kent DA14 5TA",Sidcup,DA14 5TA,020 8308 2900,info@theavenuestrust.co.uk,Belinda,Robinson,"Avenues is a not-for-profit organisation working across London and the south east, providing support to people with complex needs, including learning disabilities, physical disabilities, autism and mental health problems. Our individualised support enables people to play a full part in their communities through understanding their needs, hopes and aspirations.",all,Yes,www.theavenuestrust.co.uk,Charities,
Services for Adults with Autism and Associated Disorders,Preceptory Lodge,All of UK,"Preceptory Lodge,Preceptory Farm,Temple Hirst,Selby,North Yorkshire",Selby,YO8 8QN,01757 270095,preceptory@btinternet.com,Christine,Widdowson,"Preceptory Lodge provides people affected by Autism, Aspergers, HFA, PDA, PDD and various other associated disorders to be assisted into everyday society where they can experience a wide range of activities whilst being supported by a team of highly experienced and dedicated staff.",adult,£1400 - £1765 per week,,Other,Care and Education
Autism Services,Priory Lodge,All of UK,"2 Trafalgar Street,Carcroft",Doncaster,DN6 8AF,01302 726300,priory.trafalgar@yahoo.co.uk,Paul,Ratcliffe,Our objective is to provide community based homes that embrace the fundamental principles of good practice and strives to provide an Autism specific service to the highest quality to assist the service users to live a normal a life  as possible.,adult,£1400 - £1765 per week,,Other,Service for Adults with Autism & Associated Disorders
Praxis Care,Praxis Care,All of UK,25-31 Lisburn Road,Belfast,BT9 7AA,2890234555,info@praxiscare.org.uk,Graham,Higgin,"Praxis Care is a leading provider of residential accomodation, supported living and life-skills training to over 1000 children and adults with learning disabilities, mental ill health and dementia in 50 centres in Northern Ireland, the Isle of Man and England. We are a private charity that prides itself on providing high quality care to thrifty budgets with efficiency, competence and humanity. We are a preferred partner of local Governments throughout the UK and have a proven track-record of delivering the services that we tender for on time and to budget with significant increments of quality and performance over our competitors. The beneficiaries are our service users who enjoy enhanced life chances and greater fulfillment thanks to their participation in the Praxis Care community.",all,It depends,www.praxiscare.org.uk,Supported Living,
Music Therapy Service,Parity for Disability Music Therapy,S.E. England,"Parity for Disability,94 Whetstone Road,Cove",Farnborough,GU14 9SX,01252 375581,info@parityfordisability.org.uk,Jenny,Robson,"Music therapists use the power of music to address communication, developmental and emotional needs - opening up opportunities for growth and achievement. We accept referrals from individuals, families and professionals. We work with adults and children with learning disabilities. We have particular expertise in working with people with profound or multiple disabilities. We can also provide a service to other organisations.",all,yes,www.parityfordisability.org.uk,Therapy,
Christchurch Court Acquired Brain Injury Care Home,Christchurch Court,Midlands,"4 Christchurch Road, Abington, Northampton, NN1 5LL",Northampton,NN1 5LL,08442 640533,info@christchurchcourt.co.uk,Helen,Stokes,"Residential care home for people recovering from an acquired brain injury, located in Northampton. The dedicated staff at Christchurch offer fully trained specialised care and supported living around the clock.",all,Varies details within website,http://www.christchurchcourt.co.uk/,Supported Living,
Learn Basic Computer Skills,You Can Learn It,Scotland,"Blairview House, Knowehead Farm,,Guildtown, Perthshire,PH2 6DW,(mail address only)",Perth,PH2 6DW,01738 658224,info@youcanlearnit.co.uk,Sheila,Mackay,"You Can Learn It Ltd is a social enterprise company established to offer and support training for people with disabilities to use computers.

The service aims to support individuals, support workers, carers and tutors.
The company promotes the use of free and low cost software recognising the fact that adaptive technology both hardware and software are usually costly for the individual user.

Our staff work with local groups to offer learning opportunities in the community.
Our consultant links with organisations offering support with adaptive technology and will access training to continue professional development to support knowledge of software and hardware available to assist people with disabilities.",adult,"£25 ph for lessons , £200 for 1/2 day workshops",www.youcanlearnit.co.uk,Computers & The Internet,Education
Heritage Care (East Anglia),Heritage Care (East Anglia),S.E. England,Queens Road 191.,Norwich,NR1 3PP,01603 305540,bob.pritchard@heritagecare.co.uk,Bob,Pritchard,"We provide services for people with a learning disability including supported living, residential care, short break services, packages for people with self directed support, community based day activities and outreach services. We aim to support each individual to integrate fully into their local community and live the life of their choice. We provide services across Norfolk and Suffolk",adult,Yes,www.heritagecare.co.uk,Supported Living,
Minstead Training Project - Residential,Minstead Training Project,S.E. England,"Minstead Training Project,Minstead Lodge,Minstead",Lyndhurst,SO43 7FT,2380812297,info@minsteadtp.org,Lucio,De Feo,"Residential accommodation for people who have learning disabilities, geared towards enabling them to be as independent as possible, with the intention of helping them to move on to as independent a lifestyle as they can achieve. Areas covered include - Care of house and home, self care, cooking, shopping, road safety, use of public transport, getting on with other people.
We also offer a wide range of day opportunities - see our other entry.",adult,Yes,www.minsteadtrainingproject.org,Other,Residential Accommodation training in independent living skills
CSV Vocal Project,CSV Vocal Project,S.E. England,"c/o Social Services, Caroline House, Ryston End, Downham Market, Norfolk",Downham Market,PE39 9AX,01366 385839,jmindham@csv.org.uk,Jemma,Mindham,"CSV Vocal Project supports adults with learning disabilities to volunteer and learn new skills within their communities with the assistance of local, trained support volunteers. The project promotes increased independence, enhanced skills and community integration through volunteering and training opportunities.",adult,Yes unless referred by Adult Social Services,www.csv.org.uk,Support Service,
Heath Farm House,Barchester Healthcare,S.E. England,"Heath Farm House,Norwich Road,Little Plumstead,Norwich,NR13 5JG",Little Plumstead,NR13 5JG,01603 721521,heathfarm@barchester.com,Jim,McCready,"The team at Heath Farm House focus on supporting each individual with their own person centered support plan, the accomodation is designed to provide a safe and welcoming environment.Each person who lives at the home is encouraged and supported to participate in making decisions about their home and every day life there. Heath Farm House is set in peaceful surroundings and has a variety of local amenities all within a short drive from Norwich.",adult,Needs Dependant,www.barchester.com,Supported Living,Residential Care
Want to learn about keeping safe?,Safety First,All of UK,"Safety First,Advance Housing & Support Ltd,2 Witan way",Witney,OX28 6FH,01993 866420,safetyfirst@advanceuk.org,Kathy,Westall,"At Safety First we provide training, advice and information to help people stay safe at home and in the community. We can provide training near you in cities and towns across the UK and even in your own home. We show you how to stay safe whilst travelling, from bullying, avoiding scams etc etc. We also provide training and guidance to support providers, families and professionals. We use actors, props, role play and alot of involvement, putting you at the centre of the action. Please contact us to discuss your requirements, we will be happy to discuss them with you.",all,Please enquire,www.advanceuk.org/safety-first,Other,Personal Safety Training
Advocacy,Eich Dewis chi/Your choice,Wales,"Eich Dewis Chi/Your Choice Advocacy Service,c/oMind Buildings,The Mill,Riverside Terrace,Mill Street,Aberystwyth,CEREDIGION",Ceredigion,SY23 1JB,1970625656,info@edcyc.co.uk,Jan,Kench,Offer a crisis advocacy service to people with a learning disability in Ceredigion.,adult,no,www.edcyc.co.uk,Advocacy,
NVQ Training,MacIntyre Training,Midlands,"Sentinel House,The Courtyard,Harris Business Park,Hanbury Road",Bromsgrove,B60 4DJ,01527 577444,training@macintyrecharity.org,Ann,Thompson,"MacIntye Training offers FREE and subsidised NVQ training for the Health & Social Care sector.  Qualifications offered include Level 2, 3, 4 and the Registered Managers Award (RMA)",adult,Free or subsidised (subject to eligibility),www.macintyretraining.org,Training,
Down's Heart Group,Down's Heart Group,All of UK,"Down's Heart Group,PO Box 4260",Dunstable,LU6 2ZT,0300 102 1644,info@dhg.org.uk,Penny,Green,"Parent friendly support and information realting to heart defects associated with Down's Syndrome.  Website, helpline, newsletters, parent to parent contact, conferences, dvd's.

Fax: 0300 102 1645",all,No,http://www.dhg.org.uk,Charities,
"The MOVE Programme- helping children sit, stand and walk",MOVE Europe,All of UK,"Unit C,15 Bell Yard Mews,Bermondsey Street",London,SE1 3TY,020 7403 6382,move@move-europe.org.uk,Conchita,Garcia,"MOVE is an activity based programme which uses the combined knowledge of education, therapy and family to teach severely disabled children and adults the skills of sitting, standing and walking to the very best of their ability. 

MOVE works with the child/adult and their individual care team including family, carers, teachers, therapists and anyone else who supports them. Using a goal based approach the child/adult works towards agreed targets which range from being able to raise and hold their head independently enabling them to interact with the world around them, to being able to walk unaided or to play football using a pacer.",all,A small training cost. However we actively seek voluntary income from a number of other sources. Which enables us to keep costs to a minimum.,www.move-europe.org.uk,Charities,
Fitness and Fun,Exercise with Sally,S.E. England,32 Marston Moor,Norwich,NR7 0TL,01603 432487,info@exercisewithsally.co.uk,Sally,Harrison,"Weekly exercise classes to keep fit and healthy, whatever your mobility.  Have fun with exercises and activities to encourage self-confidence, mobility and strength, balance and coordination.  Support staff welcome.

Wednesdays 1.45-2.45 at the Sacred Heart Church Hall, North Walsham, Norfolk NR28 9JP

Thursdays 11-12 at the Vauxhall Centre, Norwich, Norfolk NR2 2SA",adult,£4.50 per class,http://www.exercisewithsally.co.uk,Other,Exercise classes
Education & SEN Consultancy,Learning Services (SEN) Ltd,All of UK,"2 Hatton Hill,,Birmingham Road,Hatton",Warwick,CV35 7JJ,01926 495695,heather@learning-services.org.uk,Heather,Stack,"Independent consultancy for schools and organizations, working on behalf of children and young people with SEN/LDD. The service works with public, private & third sector providers to achieve excellence in provision, policy & practice.",adult,Fees apply.,www.learning-services.org.uk,Education,Special Educational Needs & Inclusion
Heritage Care (West Midlands),Heritage Care (West Midlands),Midlands,6 Marston Road.,Stafford,ST16 3BS,01785 246062,andrea.dawson@heritagecare.co.uk,Andrea,Dawson,"We provide services for people with a learning disability including supported living, residential care, short break services, packages for people with self directed support, community based day activities and outreach services. We aim to support each individual to integrate fully into their local community and live the life of their choice. We provide services across Derby, Solihull, Staffordshire and Warwickshire",adult,Yes,www.heritagecare.co.uk,Supported Living,
Befriending & Advocacy Service,Southwark Irish Pensioners Project,London,"19 Spa Road,Bermondsey",London,SE16 3SA,020 7232 1004,eileenconnolly@btconnect.com,Eileen,Connolly,"Supports elderly and infirm Irish people (55 years plus) living in and around Southwark with benefits advice, advocacy, counselling, befrienders and a range of activities within our day centre.  Specialists in dealing with problems relating to hospital stays, discharge & community care packages.",adult,No,www.irishinlondon.org,Advocacy,
LEISURE,My-cubes,S.W. England,"PO Box 7048,Verwood,Dorset",Poole,BH31 9BJ,0844 544 8982,sam@my-cubes.co.uk,Sam,Townsend,"We provide a safe and supported opportunity for adults to enjoy leisure activities.Some examples of what we do are, bowling, going to the cinema, going to the pub for a drink, out for meals,going into town to go dancing and Bournemouth evening fireworks. We also do Saturday leisure, and have been to various places such as Southampton, Dorchester, Portsmouth, Monkey World and Moors Valley. We also offer on occasions Sunday leisure, and we will be going to Ashley Heath car boot and Wimborne market soon. When we are out we always stop and have something to eat and drink!",adult,£35 per day + £5 for travel if needed,,Entertainment,Leisure evenings and weekends
Supporting People with Learning Disabilities,Bridge In The Community,S.E. England,"12 Rodney Crescent,Hoddesdon,Herts",Hoddesdon,EN11 9EW,7746457185,bridge.education@ntlworld.com,Rob,McConnell,We offer people with learning disabilities an opportunity to access the community either on an individual or group basis. Our clients make choices as to what they wish to do and we provide transport to and from each activity. Our experienced staff have all been enhanced CRB checked and provide both day / evening and weekend care.,all,Yes,,Support Service,
CSV Vocal Project,CSV Vocal Project,S.E. England,"Room 1a, St Augustine's Healthy Living Centre, King's Lynn, Norfolk PE30 2LB",King's Lynn,PE30 2LB,01553 766953,jmindham@csv.org.uk,Jemma,Mindham,"CSV Vocal Project supports adults with learning disabilities to volunteer and learn new skills within their communities with the assistance of local, trained support volunteers.  The project promotes increased independence, enhanced skills and community integration through volunteering and training opportunities.",adult,"Yes, unless referred by Norfolk Joint Learning Disabilities Team or applying to become a Support Volunteer.",www.csv.org.uk,Other,Volunteering
Text messaging from your computer,Text-Connect.co.uk,All of UK,28 Shrewsbury Rd,Edgmond,TF10 8HU,01952 820 453,info@text-connect.co.uk,David,Tapley,"text-connect Deaf Community edition gives businesses and organisations working with the Deaf Community an cost effective & easy way to communicate by sms text message.

Many in the Deaf community rely on text messaging from their mobile as an essential and prefered way of communicating. text-connect allows your organisation to embrace this preference, while avoiding the need to respond to incoming messages on a traditional mobile handset.

The included 'Text Number' gives your organisation a unique contact text number. SMS text messages sent to this number instantly appear in your text-connect 'web' inbox, accessible from any computer with a internet connection and web browser. To enable instant response you can set up email alerts, which let you know via an email when a new messages have arrived.

text-connect 'Deaf Community' is simply a must for any business and organisations serving the deaf community.",all,£149+,www.text-connect.co.uk,Communication Aids / AAC,
Easy Read Translation Services,Easy Read Translation,All of UK,"9 Windsor Ave,M45 6AZ",Manchester,M45 6AZ,0161 40 80 662,mark@easyreadtranslation.org.uk,Mark,Kenyon,"Easy Read Translation is a service that translates information into Easy Read. 

We use Easy Read words and pictures to translate your information.

Our Easy Read services follow the Equality and Human Rights guidelines for Easy Read Translation.",all,Per job,www.easyreadtranslation.org.uk,Accessibility Services,
The Baked Bean Theatre Company,Act Too,London,"26 Totterdown Street,Wandsworth",London,SW17 8TA,020 8944 0024,ican@acttoo.com,Jo,Morrison,Outstanding drama based services for adults with learning disabilities. We provide fully inclusive workshops that teach you the skills you will need to perform in one of our theatre companies. Actors in our companies can expect to perform to sell out audiences in professional theatre venues in and around London.,adult,,www.acttoo.com,Other,Community Based Day Services
Sensafloat,Hydrobility,All of UK,"Saplings,,Felcourt Road,,Felcourt,,W Sussex",Nr East Grinstead,RH19 2LA,1883625796,hydro@reboundtherapy.org,Lois,Brooks,"Sensafloat is a unique swimming support and floatation aid, designed to
facilitate relaxation and movement in water for people with profound and multiple impairments.
Winner of the 1993 CBI/Toshiba Invention of the Year award, Sensafloat is manufactured and distributed by
GYM-TECH.com, the UK's leading suppliers of Rebound Therapy and associated equipment.
For sales enquiries please contact GYM-TECH on 01295 760907 or email sales@gym-tech.com",all,Yes,www.reboundtherapy.org/hydrotherapy,Accessibility Services,
The Raviv Method for Learning Difficulties,The Raviv Method,Ireland,"Garryrichard,,Foulksmills,,Co Wexford",New Ross -Wexford,IE,(051) 565780,eldoherty@eircom.net,Ellen,Doherty,"The Raviv method is an exercise based programme which lasts up to six months, and will help any person who has a learning disability - eg. a struggling reader will read by the end of the programme.  This method can be used also for professional people to improve memory, organisation and lower stress levels.  In my practice, I have 98% success.",all,I charge 60 euro per session,thelearningsociety.com,Therapy,
Audiology Services,Worthing Hospital,S.E. England,"Audiology Department,Worthing Hospital,Lyndhurst Road,Worthing,BN11 2DH",Worthing,BN11 2DH,01903 285013,department.audiology@wsht.nhs.uk,Carol,Churchill,Audiology departments test hearing and fit hearing aids,all,No,http://www.westernsussexhospitals.nhs.uk,Hospital Service,
Hearing Disability Aids,HearingDirect.com,All of UK,"The Estate Office,Old Stockbridge Road,Sutton Scotney",Hampshire,so213jw,01962 761317,info@hearingdirect.com,Joan,Mckechnie,"Hearing aids for people with a hearing disability, and an online hearing check which is free.",all,,http://www.hearingdirect.com,Communication Aids / AAC,
Happy Holidays,Happy Holidays,All of UK,"Happy Holidays, 23, Larne Drive, Broughton, Chester. CH4 0QF",Chester,CH4 0QF,01244 531054+07966 154046,mfwarren100@hotmail.com,Debbie or Mike,Warren,"Happy Holidays organises fully supported holidays for Adults with a Learning Disability who need support to go on Holiday.   We organise holidays in various parts of the UK, Spain, Portugal and Florida.   All holidays start at the venue or Airport (if abroad).   We will try to help with transport if we can, but it would take a long time to collect everyone around the Country.   All our holidays are fully inclusive and include Bed, Breakfast, Light Lunch and Evening Meal, outings each day, entrances, qualified staff supporting clients at all times.   The prices we quote are for those with a mild learning Disability, more difficult cases can be quoted for.   Drinks are provided at Breakfast, but not at other times, personal items, tips, postcards (help in writing - not more than 5 and addressed sticky labels must be provided.   We do not produce a brochure on each holiday as we only take 6 to 15 people at a time, but for more information, Brochure, Booking for and Terms and Conditions please ring Debbie or Mike.",adult,Yes - Varies,http://www.happyholidaysuk.net,Tourism,
Respite Care & Support,Life Path Trust Ltd,Midlands,"511 Walsgrave Road,St. Margarets Court",COVENTRY,CV2 4AG,024 7665 0530,denisem@life-path.org.uk,Denise,Mobley,"Our Respite service gives family carers and people with a learning disability a break.  The break can be for a few hours or several weeks.  Respite can be at the care home we run or at the person's home.
The care home is in Radford, close to Coventry city centre.  The service is registered as a care home with the Care Quality Commission for up to 10 people to stay and one bedroom is situated on the ground floor for wheelchair access.",adult,Please contact us for cost information.,www.life-path.org.uk,Support Service,
Keep Moving!,Exercise with Sally,S.E. England,32 Marston Moor,Norwich,NR7 0TL,01603 432487,info@exercisewithsally.co.uk,Sally,Harrison,"Weekly exercise classes for those using a wheelchair or mobility aids, AND who have other special needs, to work with their support staff to encourage physical and social wellbeing.

Tuesdays 1.45-2.45 at Potter Heigham Village Hall, Norfolk NR29 5LE

Thursdays 9.45-10.45 at the Vauxhall Centre, Norwich, Norfolk NR2 2SA",adult,£4.50 per class,http://www.exercisewithsally.co.uk,Other,Exercise classes
Residential care home with nursing for people with learning disabilities and acquired brain injuries,Vancouver House,N.W. England,"Vancouver House,Vancouver Road,Gateacre,Liverpool,L27 7DA",Liverpool,L27 7DA,0151 487 6905,janedottie@handscp.co.uk,Jane,Dottie,We are a small independent provider of residential care with nursing for adults with learning disabilities and acquired brain injuries. We are a preferred provider for local authorities and PCT's and have a reputation for providing person centred services.,adult,yes,www.handscp.co.uk,Other,Care Home with Nursing
fully inclusive supported holidays in Spain,Finca Supported Holidays Ltd,All of UK,"Registered office 86, Preston Road, Standish, Wigan, WN6 OHY",Wigan,WN6 0HY,01257 425456 +0034 629723116,sue@fincasupportedholidays.co.uk,sue,carr,"Finca Supported Holidays Ltd offers fully inclusive supported holidays for adults who have a learning disability.
Our venue is situated on the Costa Blanca Spain. One price is paid and there are no extras. We accept single bookings/group bookings up to 10 all year round.",adult,£999.00 per week,www.fincasupportedholidays.co.uk,Tourism,
Lindamood Bell Learning Processes,Lindamood Bell Learning Processes,All of UK,182-184 Campden Hill Road,London,w8 7as,2077270660,phylisa.wisdom@lindamoodbell.com,Phylisa,Wisdom,"Founded in 1986 by Charles and Patricia Lindamood and Nanci Bell, Lindamood-Bell is dedicated to enhancing human learning.  Our founders are the authors of research-validated instructional programs that teach children and adults to read, spell, comprehend, think critically, and express language.",all,,www.lindamoodbell.co.uk,Education,
Support for Parents who have children with Special Educational Needs,Oldham Parent Partnership Service,N.W. England,"Oldham Parent Partnership Service,,The Education Shop,,5 Barn Street,",Oldham,OL1 1LP,0161 287 8555,ecs.geoff.lewis@oldham.gov.uk,Geoff,Lewis,"Oldham Parent Partnership Service supports the parents or carers of children who are resident in the Borough of Oldham, who have Special Educational Needs. The service provides impartial direct one-to-one help, support and information to enable parents to be effective partners in the planning of their child's education. By making a call to the service for advice, parents can decide from information provided what their next step may be. The service may be able to provide further options or choices parents may not have been aware of.",all,This is a free service.,www.oldhampps.org.uk,Advice,Education
Pure Innovations,Pure Innovations Ltd.,N.W. England,"Pure Innovations Ltd.,Sanderling Building,Bird Hall Lane,Cheadle Heath",Stockport,SK3 0RF,0161 474 5900,publicity@pureinnovations.co.uk,Emma Gilpin/,Natasha Howells,"We provide a supported employment service for people with learning disabilities and other people who are disadvantaged when it comes to getting a job.  We run modernised day services with projects in catering, horticulture and radio marketing for people to gain skills and provide a service in the community.  We provide training with opportunities for people to gain NVQ qualifications.  We have an ""Hourswork"" service which enables people with significant disabilities who might only want to work a few hours a week to get a job with 100% support	 earning the going rate.  We run a Community Radio Station Pure Radio and have an audio/visual unit producing DVDs and helping to make our information accessible.",adult,,www.pureinnovations.co.uk,Employment Services,
